article,image_url
5555551118,https://images-foodtech.magnit.ru/9mvOHyZTofwSKc6ITIDv2grXTYQp0jl6R9FHKKCxO5A/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8ed/8ed66c732de0c69caa4a81dc005135f8/43e21b7afda28210461422d0641c4c6a.jpeg@webp
1000556271,https://images-foodtech.magnit.ru/GVHTaXKgLxN2fDK4IlKgvqdroVuAdxNpx9CWgCeXF3Q/rs:fit:1600:1600/plain/s3://img-dostavka/uf/fd7/fd73d2a337996396e48fb8fdbcd27e68/d8ae0a7b1468c6da92e3f760547625d3.jpeg@webp
1129710002,https://images-foodtech.magnit.ru/8a8yNKobYn_auEPWcFHcLCAAZrPBlBDQClqdrKeUhlA/rs:fit:1600:1600/plain/s3://img-dostavka/uf/0e6/0e60e816559f875376defa5d492bbd2f/6049704aa05dc20046c2cd9321ed699d.jpeg@webp
1000493598,https://images-foodtech.magnit.ru/kkRiQYVoz5jO2l3GR9lAwY4qAU8uUZnd_PUnOx4vyxo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/ad3/ad3d2250a95d64f05bf76bb4497989ab/c85c6447f100c869d11555b74b8482f3.jpeg@webp
1000457348,https://images-foodtech.magnit.ru/H0phZm5awRcX0bhEs5A282_25KV6aiW4KNnirK2vfOo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/020/020e0cf065fc511c757f03739eb5c718/823633de0c0a78bb27d836e722fa9303.jpeg@webp
1000457348,https://images-foodtech.magnit.ru/H0phZm5awRcX0bhEs5A282_25KV6aiW4KNnirK2vfOo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/020/020e0cf065fc511c757f03739eb5c718/823633de0c0a78bb27d836e722fa9303.jpeg@webp
1000187641,https://images-foodtech.magnit.ru/kERsRWw4BtAZcuEl1Hr1VYYEctEtC3GR4rsyY6IiPZ0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/d04/d040966b1b80742b85fed3a62f923c6a/c118ba4624e75e2a2ab38423afd59333.jpeg@webp
1000477878,https://images-foodtech.magnit.ru/srkxrLabZpejuQD9P2c8SiOnsEDzqHy3xztpzJ9V6FA/rs:fit:1600:1600/plain/s3://img-dostavka/uf/cad/cadbd9827a9a3e998077a8a4e8186c52/db565331a6b46f6d900f8d7f00adf595.jpeg@webp
1000517887,https://images-foodtech.magnit.ru/Dr0x9MYOO24TctK7laHeRZEvMHQdB1w557ldLJCgQP0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/4cb/4cbbea8a06edc9f881fd85537761853d/0a4e02bfb7e17d81dbe70232eb7fa409.jpeg@webp
1000318820,https://images-foodtech.magnit.ru/M8jF3jTTeLYBcBM05l5ADf7C_4ZPMSCF6LDaa_9zSxI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/191/191667e5e1ec7e0533f55e7fbfad6b9d/345c9f86628e9e5d165eaf6f4c0acf68.jpeg@webp
1000135692,https://images-foodtech.magnit.ru/hMjBtY1ttGAWNGbKuVWcR69YYeeKIm5JGpWfoTMKZ3o/rs:fit:1600:1600/plain/s3://img-dostavka/uf/4ee/4ee2398740e803b617f9a78ccb488d1d/7f3f7d8c7c12efea6d69b0d44444b51e.jpeg@webp
1000099674,https://images-foodtech.magnit.ru/ksKVn7yDBJuG5zoxPTgL2qTYDRT56C5ztbGc2bej2I0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/366/366db2aa8b552054f14b7980773d1128/5d34f4e7b0398666df7a92266efc5c3e.jpeg@webp
2270400058,https://images-foodtech.magnit.ru/Munc8NKcSi8G4ScY5IS8DsrM0ugQDOk1d46Q_zI8Bzs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/755/75526f07f3af447be9355275fb3ebf38/068ca435700b11b2aced5373855794eb.jpeg@webp
2270400058,https://images-foodtech.magnit.ru/Munc8NKcSi8G4ScY5IS8DsrM0ugQDOk1d46Q_zI8Bzs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/755/75526f07f3af447be9355275fb3ebf38/068ca435700b11b2aced5373855794eb.jpeg@webp
1000443327,https://images-foodtech.magnit.ru/sI5DU7kWty1O1uVUtjiIgXehpPEDKboLIxclBo-Hhmc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/90b/90b603f670195d2f4a720d90ad88c5db/2cab6ad0979287e2d573778d14cce5bd.jpeg@webp
1000164307,https://images-foodtech.magnit.ru/_-gdlMtxjqD6zQxrILFBqWP4v7NQGiZnJNZt2tnJe-I/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e81/e818cd358430eb266bcb4f45b4f8cf04/abde58a1c38b0e7fa6a57250758a46fb.jpeg@webp
1000164307,https://images-foodtech.magnit.ru/_-gdlMtxjqD6zQxrILFBqWP4v7NQGiZnJNZt2tnJe-I/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e81/e818cd358430eb266bcb4f45b4f8cf04/abde58a1c38b0e7fa6a57250758a46fb.jpeg@webp
3233990006,https://images-foodtech.magnit.ru/iir6tGJzanWSY59RApMSiOZiiyFHt6V-rmlOyJsqQqo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/4f9/4f940ca2935c8538b24c806f404778b2/f651b86d59208e240bad5a388478c618.jpeg@webp
1000320440,https://images-foodtech.magnit.ru/YddJIPt2-w3dCF5G9Xnc0WOwukuXcZ7Gw30xEn47WCI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/569/569f37fc0e766ffa1b6e6e93b2b31aca/c3b8534ec7652bd3f514573ff98e64bb.jpeg@webp
1000096161,https://images-foodtech.magnit.ru/VvFkaJykxL5IMIS_-gXFI49lMAEGuHjlWbuEPOs9bW4/rs:fit:1600:1600/plain/s3://img-dostavka/uf/fa1/fa1bb88d21fc160103de34e535663143/e4b3706078a629c547842d5a7cc9b4e0.jpeg@webp
1000443888,https://images-foodtech.magnit.ru/4z7ckJFWr-_1Y66c6X_HUUIjrXWJ2iWWoVSBTDZN4lQ/rs:fit:1600:1600/plain/s3://img-dostavka/uf/6dd/6dd8ed70b4aa3c441b62afa230f494ed/fbdb79fcd272cbea8db14b689951ac4c.jpeg@webp
1000422605,https://images-foodtech.magnit.ru/u5b_iILFIklcf98OwyVj2MN6n3Hy1_W3J4ZvOBWd5MQ/rs:fit:1600:1600/plain/s3://img-dostavka/uf/ce8/ce8762efdac30292ad330414455e1ac0/d939095a20a8af9da67fcf907eb8ad30.jpeg@webp
1000579527,https://images-foodtech.magnit.ru/hiJlpzscdSeddf4DskRjNt2wifFMnioz1IL58f7aMLs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/3cc/3ccaa1bf1f260f79e561e22036cb797f/04ac654017255c5b4549f87b02ad552d.jpeg@webp
1000083848,https://images-foodtech.magnit.ru/CzWXWdMsVwL8AjIaXMXvge1-iN6qWzobX7xgzJ1O5LQ/rs:fit:1600:1600/plain/s3://img-dostavka/uf/43b/43b459ed081c057189c2c8dc4f8aeb91/e1d6a19a089f511b305679f58027de2b.jpeg@webp
1000523351,https://images-foodtech.magnit.ru/Qr6WLKrI9xs_3obH5PIyXwErRatvyDTkuxDM75n-bz0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/c5f/c5fe9cbc801403de71fb1bd5349a2bb9/73b397dc52278585d822a76c314570c9.jpeg@webp
1996600040,https://images-foodtech.magnit.ru/923SY9TyqKGLGHnb0drV22qPNsS37bxEd2q35gfllLE/rs:fit:1600:1600/plain/s3://img-dostavka/uf/f8a/f8a43a587d880d61fd72cbeee439a8c8/4213a6e5daa6e3a12c20325a96eec0f4.jpeg@webp
1000317676,https://images-foodtech.magnit.ru/6NuOg45S0hsW4QiHHKlh7LjKV9OfNrtRFXiIluSYLWE/rs:fit:1600:1600/plain/s3://img-dostavka/uf/c3c/c3c39887a8166403de2f498b082550c1/54ab45700845281275a7466a4a640ca7.jpeg@webp
1000239562,https://images-foodtech.magnit.ru/nhuKXOBI_7l7jDG9TAQ_Zk5hLRUbQGJZQKDs_OojNQE/rs:fit:1600:1600/plain/s3://img-dostavka/uf/ecb/ecbc9645eadce22766084cfc64fec9fa/2d444eda86969ece1a7259474b1ab056.jpeg@webp
1000239562,https://images-foodtech.magnit.ru/nhuKXOBI_7l7jDG9TAQ_Zk5hLRUbQGJZQKDs_OojNQE/rs:fit:1600:1600/plain/s3://img-dostavka/uf/ecb/ecbc9645eadce22766084cfc64fec9fa/2d444eda86969ece1a7259474b1ab056.jpeg@webp
8000034875,https://images-foodtech.magnit.ru/6xXOgC-iNaGacp9JcDAN3jZbd_yO6MoGJYrSpqtcqVg/rs:fit:1600:1600/plain/s3://img-dostavka/uf/2bb/2bb11eb54e3783974aeba8e0dfe0477a/937f8612ab3dcd40fc3c118461422b48.jpeg@webp
8000023967,https://images-foodtech.magnit.ru/Jtich70v7IF_f5dTcV6vkSmNGaBf85oY4MQW63ZakDA/rs:fit:1600:1600/plain/s3://img-dostavka/uf/808/808b7721ffede3905355e081c46fea56/7b86b5ac8d4a58405b980549201a4019.jpeg@webp
1000312009,https://images-foodtech.magnit.ru/E1ogv3D1k19ztXUrfJVz3QK_B1a1d7yBz-Y3kxt7DnM/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8fc/8fc450d6c58835c9120461ebe3ed8e82/b4c3b6e88add7f3f7d99905e4af89949.jpeg@webp
1000048701,https://images-foodtech.magnit.ru/aHWwDSpB2wXfrDqP69cbE5gH6g-Jyb6DavSrc33ydaY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8a2/8a2c7215fe621d6e36900d7c40f1f475/d4bb92bab10c4e92b92a91fda73b0337.jpeg@webp
1000330075,https://images-foodtech.magnit.ru/mkK__rjiu3cn4eS9u31bLAPWVtb_5joM21FcVge7Zvs/rs:fit:1600:1600/plain/s3://img-dostavka/uf/229/229d891ea28448b35f965da25155c92b/43fe72c1c468e66fa4fa33158832bd4a.jpeg@webp
1000554459,https://images-foodtech.magnit.ru/zQQLJRUuIc-dyyqS9GiKKpHeueUiakekKixaR3k2C1o/rs:fit:1600:1600/plain/s3://img-dostavka/uf/94a/94a21de103e2ba4bb5ec5b7a072407a3/c57e406d1b70416e6bea46a008497c52.jpeg@webp
1000554459,https://images-foodtech.magnit.ru/zQQLJRUuIc-dyyqS9GiKKpHeueUiakekKixaR3k2C1o/rs:fit:1600:1600/plain/s3://img-dostavka/uf/94a/94a21de103e2ba4bb5ec5b7a072407a3/c57e406d1b70416e6bea46a008497c52.jpeg@webp
1000299127,https://images-foodtech.magnit.ru/TPolKh4qaolm7eBtPq4LIVkA95TIbPzKDvg3BJEkPVk/rs:fit:1600:1600/plain/s3://img-dostavka/uf/928/928df0ed4c7bda9e7513b7fc9b376eb9/db1dfba43b908330882d2bff477e4fac.jpeg@webp
1000460884,https://images-foodtech.magnit.ru/OnkMnDx2x_GynfzXncy1F5fyPxR8IagX9Uz8iO-cmvY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/241/2412e1f27c6541344fb12c1e25568489/654b5d7717fc7e2e1a667a2b294a846c.jpeg@webp
1000417347,https://images-foodtech.magnit.ru/N4O5CTI2gu8Us1v9CE3kpOvVb6CMsmdXwCmzPHCihnc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/806/806158b6a3de041e31538cc0ba609ee0/9c86830998bd977d9710c54a2aabb9e9.jpeg@webp
